IAST,Romanized Spelling,,,
abhaṅgas,abhangas,,,
ābharaṇam,abharanam,,,
abhaya-mudrā,abhaya-mudra ,,,
abhaya-pradānam,abhaya-pradanam,,,
abhayahasta,abhayahasta,,,
Abhimanyu,Abhimanyu,,,
abhiṣeka(m),abhishek(am),,,
ābīram,abiram,,,
ācamanīyam,acamaniyam,added 12.12.23,,
ācārya,acharya,,,
acetanā,achetana,,,
Acintya-bhedābheda,Acintya-bhedabheda,added 18.04.24,,
acit,achit,,,
Acyuta,Achyuta,,,
ādeśa,adesha,,,
ādhāra,adhara,,,
adharma,adharma,,,
ādheya,adheya,,,
adhibhautika,adhibhautika,,,
adhibhū̄ta,adhibhuta,,,
adhidaiva,adhidaiva,,,
adhidaivata,adhidaivata,,,
adhidaivika,adhidaivika,,,
adhikārī ,adhikari,,,
adhiyajña,adhiyajna,,,
adhyātma,adhyatma,,,
adhyātmika,adhyatmika,,,
Ādi Jagadambā,Adi Jagadamba,,,
"Ādi Śaṅkarācārya, Śrī","Adi Shankaracharya, Sri",,,
Ādi-Lakṣmī,Adi-Lakshmi,added 31.01.24,,
Ādi-puruṣaṁ,Adi-purusham,,,
Ādi-śakti,Adishakti,,,
Ādi-Sundarī,Adi-Sundari,,,
Ādiśeṣa,Adishesha,,,
Aditi,Aditi,,,
Ādityas,Adityas,,,
Advaita,Advaita,,,
Advaita Vedānta,Advaita Vedanta,,,
advaita-vāda,advaita-vada,added 12.02.24,,
advaita-vādī,advaita-vadi,added 07.10.23,,
"Advaitācārya, Śrī","Advaitacharya, Sri",,,
advaitīs,advaitis,added 12.02.24,,
Advaitists,Advaitists,,,
Āgama-śāstra,Agama-shastra,,,
Āgamas,Agamas,,,
Aghāsura,Aghasura,,,
Agni,Agni,,,
Agnideva,Agnideva ,,,
Āgnidhra,Agnidhra,,,
Agniśvātta,Agnishvatta,,,
ahaṁ brahmāsmi,aham brahmasmi,added anusvāra 09.08.23,,
ahaṅkāra,ahankara,,,
Ahilyā,Ahilya,,,
ahiṁsā ,ahimsa,,,
Āhlādīni,Ahladini,,,
Ahobilaṁ,Ahobilam,,,
āhuti,ahuti,,,
Airāvata,Airavata,,,
aiśvarya,aishwarya,"lowercase 09.09.23, attribute of the Lord",,
Aiśvarya-Lakṣmī,Aishvarya-Lakshmi,added 31.01.24,,
Ajāmila,Ajamila,,,
ajapa-mantra,ajapa-mantra,,,
ājñā-cakra,ajna-chakra,,,
ajñāna-timirāndhasya jñānāñjana-śalākayā | cakṣur-unmīlitaṁ yena tasmai śrī gurave namaḥ ||,ajnana-timirandhasya jnananjana-shalakaya caksur-unmilitam yena tasmai sri gurave namah,added 03.08.23,,
akāra,akara,,,
akarma,akarma,,,
ākāśa,akasha,,,
ākāśavāṇi,akashavani,added ṇ 09.08.23,,
akhāḍā(s),akhara(s),added 04.11.23,,
akhaṇḍa-kīrtana ,akhanda-kirtan,,,
Akrūra,Akrura,,,
akṣara,akshara,,,
Akṣara-brahma-yoga,Akshara-brahma-yoga,,,
akṣata,akshata ,,,
akṣauhiṇī,akshauhini,,,
akṣaya,akshaya,,,
Akṣayapātra,Akshayapatra,capital 15.09.23,,
Ālandī,Alandi,added 09.10.23,,
āḻvār(s),alvar(),lower-case 01.03.24,,
Amala,Amala,,,
Amalān Ādi Pirāṉ,Amalan Adi Piran,,,
Amalatva,Amalatva,,,
amānavatā,amanavata,,,
Ambā(jī),Amba(ji),added 14.09.23,,
Ambarīṣa,Ambarisha ,,,
Ambikā-devī,Ambika-devi,,,
amṛta,amrita,,,
amṛtatva,amritatva,,,
aṁśa,amsha,,,
aṁśāvatāra,amshavatar,,,
Aṁśumāna,Amshumana,,,
anāhata-cakra,anahata-chakra,,,
Anala,Anala,,,
ānanda,ananda,,,
Ānanda,Ananda,,,
Ananta,Ananta,,,
Ananta-śeṣa,Ananta-shesha,,,
Ananta-vijaya,Ananta-vijaya,,,
anantatā,anantata,,,
ananya-bhakti,ananya-bhakti ,,,
Anasūyā,Anasuya,wife of Atri,,
Āṇḍāl,Andal,,,
Andhakas,Andhakas,,,
Andhra Pradesh,Andhra Pradesh,added 18.04.24,,
aṅganyāsam ,anganyasam,,,
Aṅgiras,Angiras,,,
Aṅgulimāla,Angulimala,,,
Aniruddha,Aniruddha,,,
"Annamācārya, Śrī","Annamacharya, Sri",,,
antaḥkaraṇa,antahkarana,,,
antara-darśana,antar-darshan,added 18.05.24,,
antara-jyoti,antara-jyoti,,,
antara-pūjā,antara-puja,,,
Antarātmā,Antaratma,,,
Antaryāmī,Antaryami,,,
ānukūlya-saṅkalpa,anukulya-sankalpah,added 11.04.24,,
anumāna,anumana,added 07.10.23,,
anurāga-prema,anuraga-prema,,,
anyāya,anyaya,,,
apāna ,apana,,,
aparā,apara,,,
aparā-prakṛti,apara-prakriti,,,
aparādha,aparadha,,,
apsarā(s),apsara(s),updated 24.10.23,,
āpta,apta,added 07.10.23,,
ārādhya ,aradhya,added 24.12.25,,
araṇya,aranya,,,
Āraṇya-kāṇḍa,Aranya-kanda,,,
Araṇyaka-parva,Aranyaka-parva,added 06.06.24,,
Āraṇyakas,Aranyakas,,,
āratī ,arati,,,
Arcā,Archa,,,
arcana-bhakti,archana-bhakti,,,
Ardhanārīśvara,Ardhanarishwara,,,
arghyam,arghyam,,,
Ariṣṭāsura,Arishtasura,,,
Arjuna,Arjuna,,,
Arjuna-viśāda-yoga,Arjuna-vishada-yoga,,,
ārta,arta,,,
artha,artha,,,
arthārthi,artharthi,,,
Aruṇi,Aruni,,,
Aryamā,Aryama,,,
āsana,asana,,,
Asita,Asita,,,
āśrama(s),ashram(s),,,
aṣṭa-dik,ashta-dik,added 03.06.23,,
Aṣṭa-Lakṣmī,Ashta-Lakshmi,added 25.01.24,,
aṣṭākṣara,ashtakshara,,,
aṣṭākṣara-mantra,ashtakshara-mantra,,,
aṣṭāṅga-yoga,ashtanga-yoga,,,
Aṣṭavinayaka ,Ashtavinayaka,added 24.12.25,,
asteya,asteya,,,
Asti,Asti,,,
āstika,astika,,,
aṣṭotram,ashtotram,,,
aṣṭottara-śata-nāmāvali,ashtottara-shata namavali,,,
āstra,astra,,,
asura(s),asura(s),"lowercase, italics 06.10.23",,
Āsuri Keśavācārya,Asuri Keshavacharya,,,
asuric,asuric,,,
aśvamedha-yajña,ashvamedha-yajna,,,
Āśvattha,Ashwattha,,,
Aśvatthāmā,Ashwatthama,,,
Aśvin-kumāras,Ashwin-kumaras,,,
Atharva Veda,Atharva Veda,,,
